"workerid","color","percentage_blue","modal","rating","speaker_cond"
2,"""blue""",75,"""probably""",1,"f"
2,"""blue""",90,"""probably""",1,"f"
2,"""blue""",100,"""probably""",0.72,"f"
2,"""blue""",0,"""bare""",0,"f"
2,"""blue""",10,"""bare""",0,"f"
2,"""blue""",25,"""bare""",0,"f"
2,"""blue""",40,"""bare""",0,"f"
2,"""blue""",50,"""bare""",0,"f"
2,"""blue""",60,"""bare""",0,"f"
2,"""blue""",75,"""bare""",0.17,"f"
2,"""blue""",90,"""bare""",0.23,"f"
2,"""blue""",100,"""bare""",0.97,"f"
2,"""orange""",0,"""might""",0.1,"f"
2,"""orange""",10,"""might""",0.24,"f"
2,"""orange""",25,"""might""",0.37,"f"
2,"""orange""",40,"""might""",0.49,"f"
2,"""orange""",50,"""might""",0.62,"f"
2,"""orange""",60,"""might""",0.84,"f"
2,"""orange""",75,"""might""",0.82,"f"
2,"""orange""",90,"""might""",0.12,"f"
2,"""orange""",100,"""might""",0.01,"f"
2,"""orange""",0,"""probably""",0.38,"f"
2,"""orange""",10,"""probably""",0.99,"f"
2,"""orange""",25,"""probably""",0.98,"f"
2,"""orange""",40,"""probably""",0.88,"f"
2,"""orange""",50,"""probably""",0.77,"f"
2,"""orange""",60,"""probably""",0.54,"f"
2,"""orange""",75,"""probably""",0.3,"f"
2,"""orange""",90,"""probably""",0.07,"f"
2,"""orange""",100,"""probably""",0,"f"
2,"""blue""",0,"""might""",0.05,"f"
2,"""blue""",10,"""might""",0.71,"f"
2,"""blue""",25,"""might""",0.99,"f"
2,"""blue""",40,"""might""",0.97,"f"
2,"""blue""",50,"""might""",0.99,"f"
2,"""blue""",60,"""might""",1,"f"
2,"""blue""",75,"""might""",0.76,"f"
2,"""blue""",90,"""might""",0.74,"f"
2,"""blue""",100,"""might""",0.15,"f"
2,"""orange""",0,"""bare""",0.98,"f"
2,"""orange""",10,"""bare""",0.11,"f"
2,"""orange""",25,"""bare""",0.02,"f"
2,"""orange""",40,"""bare""",0.02,"f"
2,"""orange""",50,"""bare""",0,"f"
2,"""orange""",60,"""bare""",0,"f"
2,"""orange""",75,"""bare""",0,"f"
2,"""orange""",90,"""bare""",0,"f"
2,"""orange""",100,"""bare""",0,"f"
3,"""orange""",0,"""probably""",0.81,"m"
3,"""orange""",10,"""probably""",0.72,"m"
3,"""orange""",25,"""probably""",0.85,"m"
3,"""orange""",40,"""probably""",0.45,"m"
3,"""orange""",50,"""probably""",0.39,"m"
3,"""orange""",60,"""probably""",0.21,"m"
3,"""orange""",75,"""probably""",0.16,"m"
3,"""orange""",90,"""probably""",0.1,"m"
3,"""orange""",100,"""probably""",0.04,"m"
3,"""blue""",0,"""bare""",0.03,"m"
3,"""blue""",10,"""bare""",0.03,"m"
3,"""blue""",25,"""bare""",0.12,"m"
3,"""blue""",40,"""bare""",0.26,"m"
3,"""blue""",50,"""bare""",0.47,"m"
3,"""blue""",60,"""bare""",0.51,"m"
3,"""blue""",75,"""bare""",0.65,"m"
3,"""blue""",90,"""bare""",0.88,"m"
3,"""blue""",100,"""bare""",0.97,"m"
3,"""blue""",0,"""probably""",0.04,"m"
3,"""blue""",10,"""probably""",0.04,"m"
3,"""blue""",25,"""probably""",0.08,"m"
3,"""blue""",40,"""probably""",0.29,"m"
3,"""blue""",50,"""probably""",0.44,"m"
3,"""blue""",60,"""probably""",0.6,"m"
3,"""blue""",75,"""probably""",0.81,"m"
3,"""blue""",90,"""probably""",0.91,"m"
3,"""blue""",100,"""probably""",0.41,"m"
3,"""blue""",0,"""might""",0.04,"m"
3,"""blue""",10,"""might""",0.98,"m"
3,"""blue""",25,"""might""",1,"m"
3,"""blue""",40,"""might""",0.7,"m"
3,"""blue""",50,"""might""",0.6,"m"
3,"""blue""",60,"""might""",0.52,"m"
3,"""blue""",75,"""might""",0.49,"m"
3,"""blue""",90,"""might""",0.42,"m"
3,"""blue""",100,"""might""",0.31,"m"
3,"""orange""",0,"""bare""",0.99,"m"
3,"""orange""",10,"""bare""",0.41,"m"
3,"""orange""",25,"""bare""",0.42,"m"
3,"""orange""",40,"""bare""",0.29,"m"
3,"""orange""",50,"""bare""",0.16,"m"
3,"""orange""",60,"""bare""",0.13,"m"
3,"""orange""",75,"""bare""",0.01,"m"
3,"""orange""",90,"""bare""",0.02,"m"
3,"""orange""",100,"""bare""",0.03,"m"
3,"""orange""",0,"""might""",0.18,"m"
3,"""orange""",10,"""might""",0.46,"m"
3,"""orange""",25,"""might""",0.47,"m"
3,"""orange""",40,"""might""",0.6,"m"
3,"""orange""",50,"""might""",0.83,"m"
3,"""orange""",60,"""might""",0.93,"m"
3,"""orange""",75,"""might""",0.8,"m"
3,"""orange""",90,"""might""",0.46,"m"
3,"""orange""",100,"""might""",0.02,"m"
